,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
14769,Manhattan,290,2,62,Medium,19
14773,Manhattan,165,1,141,Medium,262
14785,Brooklyn,225,2,110,Medium,124
14793,Manhattan,120,5,20,Medium,34
14795,Brooklyn,115,28,39,Medium,3
14799,Brooklyn,300,5,46,High,29
14808,Manhattan,190,2,46,Medium,323
14809,Manhattan,225,5,24,Medium,42
14811,Manhattan,125,2,104,Medium,5
14814,Manhattan,150,30,17,Medium,157
14816,Manhattan,130,3,74,Medium,16
14820,Manhattan,140,1,183,Medium,63
14823,Manhattan,125,30,11,Medium,105
14825,Brooklyn,200,30,45,Medium,310
14827,Manhattan,625,5,12,High,130
14829,Brooklyn,176,5,12,Medium,236
14830,Manhattan,175,1,179,Medium,116
14833,Manhattan,125,30,11,Medium,157
14839,Brooklyn,140,2,141,Medium,268
14846,Manhattan,225,3,25,Medium,0
14854,Manhattan,199,3,157,Medium,215
14859,Manhattan,200,4,107,Medium,203
14860,Manhattan,200,3,43,Medium,14
14862,Manhattan,102,2,29,Medium,178
14870,Brooklyn,109,4,25,Medium,324
14871,Brooklyn,145,4,18,Medium,0
14875,Manhattan,130,2,118,Medium,226
14876,Manhattan,120,1,11,Medium,0
14879,Manhattan,122,9,12,Medium,160
14892,Manhattan,154,3,78,Medium,17
14901,Brooklyn,139,2,67,Medium,75
14906,Manhattan,275,2,136,Medium,170
14909,Brooklyn,135,2,22,Medium,92
14910,Brooklyn,165,1,19,Medium,0
14939,Manhattan,250,2,23,Medium,0
14940,Brooklyn,135,1,193,Medium,270
14949,Manhattan,150,4,17,Medium,26
14951,Manhattan,650,5,42,High,335
14955,Manhattan,105,1,14,Medium,0
14958,Brooklyn,168,2,63,Medium,344
14961,Manhattan,175,4,130,Medium,53
14963,Brooklyn,119,3,121,Medium,280
14964,Brooklyn,105,4,22,Medium,11
14966,Manhattan,290,2,69,Medium,99
14973,Manhattan,595,5,51,High,347
14979,Manhattan,300,5,88,High,121
14987,Manhattan,500,4,72,High,330
14991,Manhattan,148,6,44,Medium,280
14992,Manhattan,133,2,72,Medium,0
15003,Manhattan,125,3,11,Medium,0
15005,Brooklyn,175,2,28,Medium,0
15010,Manhattan,225,30,87,Medium,280
15012,Manhattan,110,2,22,Medium,0
15015,Manhattan,800,3,59,High,263
15017,Manhattan,105,1,181,Medium,175
15023,Manhattan,160,3,20,Medium,0
15028,Brooklyn,145,2,100,Medium,296
15033,Brooklyn,121,20,23,Medium,294
15035,Manhattan,198,3,31,Medium,57
15036,Brooklyn,109,2,115,Medium,352
15038,Bronx,150,2,79,Medium,267
15044,Brooklyn,170,3,21,Medium,0
15051,Brooklyn,140,2,33,Medium,145
15054,Manhattan,200,2,128,Medium,231
15061,Manhattan,125,1,36,Medium,81
15068,Brooklyn,105,2,66,Medium,360
15072,Manhattan,450,1,45,High,287
15075,Brooklyn,172,2,90,Medium,87
15091,Manhattan,999,3,11,High,164
15095,Manhattan,150,2,16,Medium,220
15096,Manhattan,325,1,43,High,223
15097,Manhattan,170,5,24,Medium,121
15099,Brooklyn,175,1,17,Medium,179
15101,Brooklyn,120,3,70,Medium,208
15105,Manhattan,125,5,15,Medium,0
15107,Manhattan,1000,4,19,High,349
15113,Manhattan,149,5,88,Medium,326
15117,Manhattan,160,3,36,Medium,318
15136,Brooklyn,169,12,13,Medium,365
15147,Brooklyn,200,1,16,Medium,239
15149,Manhattan,325,3,99,High,246
15150,Manhattan,333,1,246,High,323
15152,Manhattan,245,2,24,Medium,48
15154,Manhattan,999,2,54,High,58
15159,Manhattan,206,1,55,Medium,0
15162,Brooklyn,126,2,181,Medium,182
15174,Manhattan,220,4,81,Medium,217
15175,Bronx,125,3,142,Medium,185
15185,Queens,225,1,35,Medium,364
15189,Manhattan,177,3,12,Medium,0
15194,Brooklyn,135,1,38,Medium,359
15196,Manhattan,139,1,186,Medium,230
15202,Brooklyn,300,2,33,High,76
15204,Brooklyn,144,2,49,Medium,69
15210,Manhattan,149,2,16,Medium,0
15212,Manhattan,110,3,36,Medium,292
15213,Manhattan,179,3,69,Medium,104
15214,Queens,500,2,15,High,365
15215,Brooklyn,150,4,11,Medium,0
15216,Queens,175,6,29,Medium,55
15226,Brooklyn,325,2,76,High,160
15231,Manhattan,111,1,41,Medium,4
15246,Manhattan,115,2,18,Medium,3
15251,Queens,350,40,15,High,365
15255,Brooklyn,265,4,123,Medium,285
15256,Brooklyn,215,2,44,Medium,279
15257,Queens,120,2,162,Medium,268
15262,Queens,750,1,14,High,352
15264,Manhattan,210,1,58,Medium,2
15285,Manhattan,143,2,32,Medium,0
15287,Queens,110,2,24,Medium,128
15292,Brooklyn,295,2,70,Medium,292
15299,Manhattan,275,2,70,Medium,307
15300,Manhattan,110,2,46,Medium,307
15308,Manhattan,150,1,41,Medium,274
15309,Manhattan,225,1,45,Medium,255
15311,Manhattan,125,1,103,Medium,339
15312,Manhattan,115,4,46,Medium,0
15315,Manhattan,200,2,39,Medium,0
15325,Manhattan,175,30,12,Medium,0
15326,Brooklyn,150,2,11,Medium,330
15329,Brooklyn,159,2,13,Medium,317
15330,Brooklyn,140,2,108,Medium,278
15336,Manhattan,359,1,96,High,309
15340,Brooklyn,189,4,68,Medium,83
15344,Queens,125,1,11,Medium,301
15345,Brooklyn,150,3,11,Medium,364
15349,Manhattan,198,2,37,Medium,0
15350,Manhattan,350,6,124,High,247
15361,Brooklyn,112,10,11,Medium,21
15364,Manhattan,239,4,132,Medium,242
15371,Manhattan,165,3,110,Medium,222
15377,Manhattan,139,2,132,Medium,154
15378,Manhattan,339,1,87,High,318
15381,Brooklyn,450,365,17,High,365
15383,Brooklyn,199,2,29,Medium,174
15388,Brooklyn,120,3,25,Medium,0
15394,Manhattan,120,2,17,Medium,0
15398,Manhattan,525,5,49,High,314
15403,Brooklyn,132,1,67,Medium,264
15409,Bronx,450,2,81,High,342
15411,Manhattan,359,1,126,High,318
15413,Manhattan,120,3,11,Medium,0
15418,Brooklyn,140,30,38,Medium,312
15419,Brooklyn,170,5,35,Medium,290
15426,Queens,169,3,27,Medium,256
15429,Manhattan,220,2,140,Medium,341
15430,Brooklyn,235,4,32,Medium,322
15440,Manhattan,180,1,14,Medium,90
15442,Brooklyn,104,2,19,Medium,249
15443,Brooklyn,325,4,12,High,6
15444,Manhattan,299,2,14,Medium,0
15449,Manhattan,300,3,100,High,335
15456,Manhattan,219,7,100,Medium,235
15458,Brooklyn,260,4,105,Medium,48
15464,Queens,215,1,38,Medium,77
15465,Manhattan,175,2,136,Medium,280
15466,Manhattan,140,7,131,Medium,111
15489,Brooklyn,169,2,136,Medium,251
15499,Brooklyn,199,1,164,Medium,340
15504,Brooklyn,170,5,55,Medium,82
15507,Manhattan,195,2,80,Medium,14
15508,Manhattan,186,2,139,Medium,73
15514,Brooklyn,150,2,68,Medium,319
15516,Manhattan,148,4,104,Medium,145
15517,Manhattan,130,3,44,Medium,80
15520,Brooklyn,285,2,17,Medium,0
15528,Manhattan,159,1,17,Medium,155
15530,Manhattan,155,5,12,Medium,2
15531,Brooklyn,184,4,79,Medium,222
15541,Manhattan,225,3,60,Medium,18
15542,Manhattan,190,29,53,Medium,165
15545,Bronx,104,2,33,Medium,86
15567,Manhattan,274,6,37,Medium,339
15569,Brooklyn,105,2,172,Medium,83
15574,Manhattan,225,4,128,Medium,218
15592,Manhattan,185,4,49,Medium,279
15594,Manhattan,399,4,55,High,237
15595,Manhattan,170,4,12,Medium,0
15597,Manhattan,376,28,53,High,310
15605,Manhattan,209,2,75,Medium,8
15609,Staten Island,165,1,108,Medium,298
15610,Manhattan,218,5,69,Medium,152
15612,Manhattan,200,2,154,Medium,51
15615,Brooklyn,280,3,30,Medium,125
15619,Manhattan,120,30,18,Medium,189
15631,Manhattan,218,5,81,Medium,185
15632,Manhattan,135,30,13,Medium,330
15638,Manhattan,115,2,150,Medium,1
15640,Brooklyn,160,4,33,Medium,1
15650,Brooklyn,177,4,82,Medium,73
15653,Brooklyn,150,3,73,Medium,259
15657,Queens,175,2,74,Medium,141
15660,Brooklyn,195,2,34,Medium,0
15669,Manhattan,136,1,30,Medium,0
15670,Manhattan,180,2,166,Medium,213
15673,Brooklyn,225,2,39,Medium,0
15682,Brooklyn,105,1,43,Medium,13
15696,Queens,119,2,21,Medium,363
15726,Manhattan,250,3,30,Medium,18
15734,Brooklyn,139,4,12,Medium,0
15739,Queens,250,3,40,Medium,189
15742,Manhattan,240,4,59,Medium,37
15750,Queens,135,5,18,Medium,363
15751,Manhattan,259,3,57,Medium,175
15757,Queens,190,3,32,Medium,53
15759,Manhattan,250,2,29,Medium,0
15761,Brooklyn,225,3,19,Medium,0
15771,Manhattan,175,3,59,Medium,14
15779,Queens,289,2,115,Medium,280
15784,Brooklyn,120,4,43,Medium,243
15799,Queens,125,3,21,Medium,345
15803,Manhattan,244,2,176,Medium,282
15808,Manhattan,150,2,13,Medium,26
15822,Brooklyn,225,3,95,Medium,122
15823,Manhattan,120,5,13,Medium,0
15825,Brooklyn,175,3,96,Medium,209
15827,Queens,260,21,17,Medium,42
15828,Brooklyn,225,2,33,Medium,1
15829,Brooklyn,135,3,148,Medium,91
15831,Brooklyn,195,3,23,Medium,225
15833,Manhattan,1000,2,24,High,274
15834,Manhattan,177,25,21,Medium,10
15837,Manhattan,1000,2,23,High,240
15844,Brooklyn,125,2,117,Medium,262
15847,Queens,130,3,17,Medium,11
15858,Brooklyn,200,1,43,Medium,232
15860,Manhattan,150,2,18,Medium,0
15863,Queens,135,2,27,Medium,0
15872,Brooklyn,300,3,39,High,259
15887,Manhattan,260,4,22,Medium,3
15905,Manhattan,112,3,23,Medium,18
15907,Manhattan,230,2,39,Medium,0
15910,Manhattan,130,3,18,Medium,304
15914,Manhattan,150,30,12,Medium,325
15916,Brooklyn,150,1,14,Medium,0
15920,Brooklyn,250,5,14,Medium,0
15924,Manhattan,399,180,29,High,0
15927,Brooklyn,190,2,84,Medium,8
15928,Manhattan,480,5,106,High,263
15932,Manhattan,140,1,78,Medium,321
15937,Manhattan,128,1,28,Medium,178
15958,Brooklyn,179,7,117,Medium,137
15968,Brooklyn,325,2,27,High,0
15977,Brooklyn,275,3,27,Medium,271
15978,Brooklyn,123,4,63,Medium,67
15981,Manhattan,180,1,28,Medium,0
15990,Manhattan,450,31,56,High,341
15991,Manhattan,120,2,44,Medium,96
15994,Brooklyn,200,2,80,Medium,286
15995,Manhattan,250,3,33,Medium,80
16003,Brooklyn,124,2,104,Medium,237
16017,Manhattan,150,1,49,Medium,0
16019,Brooklyn,150,1,107,Medium,75
16027,Manhattan,125,32,99,Medium,203
16029,Manhattan,198,2,32,Medium,0
16036,Brooklyn,219,3,51,Medium,71
16041,Manhattan,175,1,11,Medium,0
16042,Brooklyn,220,4,42,Medium,318
16045,Manhattan,110,1,31,Medium,189
16048,Manhattan,329,3,104,High,205
16058,Brooklyn,140,6,18,Medium,11
16073,Manhattan,175,4,30,Medium,48
16074,Manhattan,399,2,80,High,212
16079,Brooklyn,575,3,33,High,259
16082,Manhattan,158,2,145,Medium,193
16083,Brooklyn,400,3,11,High,6
16085,Manhattan,135,2,16,Medium,0
16087,Brooklyn,155,30,132,Medium,83
16101,Manhattan,199,31,81,Medium,85
16107,Manhattan,300,5,22,High,87
16110,Manhattan,150,3,40,Medium,4
16112,Manhattan,225,1,32,Medium,0
16114,Brooklyn,160,3,13,Medium,0
16116,Manhattan,150,3,35,Medium,0
16118,Manhattan,275,3,16,Medium,0
16120,Brooklyn,195,3,54,Medium,97
16131,Brooklyn,125,2,70,Medium,132
16133,Brooklyn,175,3,122,Medium,128
16135,Manhattan,350,6,97,High,236
16137,Brooklyn,120,2,21,Medium,0
16143,Brooklyn,178,2,22,Medium,3
16144,Queens,170,2,149,Medium,229
16161,Manhattan,150,2,17,Medium,15
16163,Brooklyn,125,3,19,Medium,0
16164,Manhattan,125,2,100,Medium,34
16165,Brooklyn,175,1,121,Medium,7
16168,Manhattan,295,1,50,Medium,77
16190,Manhattan,145,3,100,Medium,0
16193,Brooklyn,129,2,87,Medium,124
16194,Manhattan,186,1,197,Medium,209
16198,Queens,119,2,37,Medium,336
16218,Manhattan,300,1,38,High,361
16226,Manhattan,400,7,103,High,344
16231,Manhattan,126,2,11,Medium,0
16232,Manhattan,150,1,136,Medium,248
16245,Manhattan,126,68,17,Medium,0
16247,Queens,195,1,239,Medium,256
16248,Manhattan,175,2,34,Medium,75
16251,Manhattan,170,4,112,Medium,262
16257,Manhattan,140,1,28,Medium,170
16264,Brooklyn,125,2,21,Medium,311
16273,Brooklyn,225,3,36,Medium,53
16280,Brooklyn,225,2,130,Medium,306
16285,Brooklyn,109,3,68,Medium,213
16286,Manhattan,250,4,18,Medium,0
16296,Manhattan,165,7,49,Medium,64
16299,Brooklyn,201,30,66,Medium,159
16310,Brooklyn,175,2,102,Medium,284
16311,Queens,151,2,87,Medium,17
16312,Manhattan,250,7,52,Medium,0
16332,Manhattan,199,2,30,Medium,30
16340,Manhattan,138,1,95,Medium,215
16343,Queens,125,2,156,Medium,263
16345,Brooklyn,225,2,11,Medium,0
16351,Manhattan,600,5,24,High,336
16352,Brooklyn,175,4,31,Medium,254
16353,Brooklyn,150,2,141,Medium,299
16356,Brooklyn,170,3,72,Medium,255
16357,Manhattan,225,2,32,Medium,44
16359,Brooklyn,150,30,42,Medium,117
16366,Brooklyn,117,2,17,Medium,0
16371,Manhattan,130,6,63,Medium,34
16392,Manhattan,119,4,136,Medium,17
16393,Manhattan,154,2,23,Medium,4
16405,Manhattan,180,14,15,Medium,122
16407,Manhattan,150,2,11,Medium,0
16414,Manhattan,150,10,12,Medium,6
16415,Brooklyn,250,3,12,Medium,0
16416,Manhattan,140,31,37,Medium,0
16437,Brooklyn,136,2,169,Medium,279
16438,Brooklyn,101,1,28,Medium,13
16445,Brooklyn,319,2,49,High,82
16450,Manhattan,160,4,57,Medium,31
16451,Manhattan,109,1,86,Medium,161
16456,Brooklyn,150,1,15,Medium,55
16462,Manhattan,131,4,33,Medium,180
16466,Manhattan,250,1,18,Medium,0
16475,Brooklyn,150,2,120,Medium,149
16477,Manhattan,105,7,32,Medium,290
16479,Manhattan,275,3,24,Medium,82
16480,Manhattan,149,3,16,Medium,333
16510,Manhattan,199,3,57,Medium,93
16516,Brooklyn,155,2,94,Medium,218
16519,Manhattan,120,1,12,Medium,0
16520,Brooklyn,115,5,54,Medium,105
16521,Manhattan,165,1,13,Medium,0
16525,Brooklyn,133,2,12,Medium,0
16529,Manhattan,170,3,34,Medium,198
16541,Brooklyn,125,5,42,Medium,1
16542,Brooklyn,105,4,13,Medium,0
16543,Brooklyn,140,3,122,Medium,275
16550,Manhattan,200,7,38,Medium,205
16553,Manhattan,120,26,22,Medium,0
16555,Manhattan,120,14,12,Medium,261
16579,Manhattan,110,2,20,Medium,5
16596,Brooklyn,150,2,215,Medium,72
16607,Bronx,500,2,19,High,345
16614,Manhattan,115,2,30,Medium,3
16620,Manhattan,150,2,18,Medium,0
16629,Manhattan,150,1,89,Medium,139
16630,Brooklyn,149,1,41,Medium,69
16631,Manhattan,150,2,11,Medium,2
16635,Manhattan,250,4,11,Medium,0
16636,Manhattan,225,1,21,Medium,0
16637,Manhattan,450,2,41,High,0
16648,Brooklyn,115,1,75,Medium,81
16650,Bronx,139,2,28,Medium,131
16655,Manhattan,159,30,12,Medium,0
16674,Brooklyn,229,4,92,Medium,236
16675,Brooklyn,175,2,132,Medium,298
16678,Manhattan,110,3,58,Medium,129
16679,Manhattan,150,1,25,Medium,0
16682,Queens,125,3,86,Medium,271
16685,Brooklyn,329,2,15,High,0
16692,Brooklyn,120,2,193,Medium,254
16698,Manhattan,200,2,117,Medium,34
16705,Queens,200,2,18,Medium,6
16709,Manhattan,375,3,50,High,351
16717,Brooklyn,145,2,78,Medium,314
16720,Brooklyn,175,5,53,Medium,99
16721,Manhattan,350,3,46,High,297
16722,Manhattan,119,2,16,Medium,0
16728,Brooklyn,110,6,18,Medium,0
16735,Brooklyn,163,3,16,Medium,154
16739,Queens,125,2,32,Medium,50
16740,Brooklyn,150,2,179,Medium,300
16747,Brooklyn,121,2,24,Medium,14
16756,Manhattan,140,2,55,Medium,0
16761,Manhattan,149,4,25,Medium,156
16764,Brooklyn,150,2,14,Medium,0
16778,Manhattan,125,4,31,Medium,7
16783,Manhattan,300,2,16,High,0
16785,Brooklyn,125,3,97,Medium,216
16788,Manhattan,150,3,12,Medium,0
16792,Manhattan,450,2,139,High,221
16795,Manhattan,139,2,102,Medium,235
16798,Brooklyn,115,4,89,Medium,282
16803,Queens,120,3,40,Medium,365
16814,Manhattan,165,1,31,Medium,358
16818,Manhattan,140,3,12,Medium,0
16819,Brooklyn,150,2,16,Medium,0
16824,Bronx,110,90,11,Medium,77
16827,Manhattan,175,1,35,Medium,19
16854,Manhattan,179,2,98,Medium,151
16868,Manhattan,142,1,146,Medium,78
16879,Queens,178,30,83,Medium,342
16899,Manhattan,120,1,19,Medium,360
16900,Manhattan,120,1,12,Medium,338
16903,Brooklyn,105,15,30,Medium,85
16904,Brooklyn,130,2,16,Medium,0
16912,Manhattan,200,3,27,Medium,0
16918,Queens,255,2,111,Medium,268
16919,Queens,125,2,17,Medium,56
16921,Manhattan,175,3,27,Medium,0
16928,Manhattan,165,3,14,Medium,10
16933,Brooklyn,195,2,145,Medium,230
16935,Manhattan,150,4,45,Medium,6
16936,Manhattan,157,1,11,Medium,0
16944,Manhattan,101,2,102,Medium,116
16946,Manhattan,199,30,36,Medium,242
16952,Queens,110,1,37,Medium,74
16958,Brooklyn,125,2,52,Medium,20
16964,Brooklyn,119,1,24,Medium,313
16966,Manhattan,196,3,14,Medium,29
16975,Manhattan,360,2,22,High,333
16980,Brooklyn,450,7,14,High,360
16984,Manhattan,169,5,19,Medium,88
16986,Manhattan,230,4,12,Medium,41
16993,Brooklyn,190,3,39,Medium,226
17005,Manhattan,109,4,25,Medium,140
17019,Brooklyn,300,3,17,High,11
17023,Manhattan,180,4,13,Medium,0
17027,Manhattan,115,4,119,Medium,45
17035,Manhattan,110,4,125,Medium,44
17038,Staten Island,105,2,132,Medium,318
17044,Brooklyn,525,1,36,High,189
17049,Brooklyn,155,3,19,Medium,0
17053,Manhattan,199,3,110,Medium,246
17057,Manhattan,185,2,32,Medium,26
17063,Manhattan,161,1,27,Medium,0
17080,Manhattan,140,2,34,Medium,0
17089,Brooklyn,170,2,88,Medium,65
17090,Manhattan,179,3,24,Medium,3
17095,Queens,174,1,67,Medium,340
17104,Manhattan,125,1,180,Medium,125
17114,Manhattan,200,3,50,Medium,268
17132,Brooklyn,150,3,40,Medium,327
17134,Queens,119,2,19,Medium,0
17135,Manhattan,129,1,160,Medium,246
17136,Brooklyn,175,2,103,Medium,144
17139,Queens,101,5,93,Medium,7
17141,Manhattan,300,2,15,High,3
17144,Brooklyn,185,1,49,Medium,50
17145,Manhattan,185,2,174,Medium,65
17152,Manhattan,295,2,48,Medium,0
17153,Brooklyn,120,2,21,Medium,0
17154,Brooklyn,189,4,15,Medium,15
17156,Manhattan,123,2,33,Medium,1
17162,Brooklyn,145,1,61,Medium,11
17163,Manhattan,165,2,13,Medium,0
17168,Manhattan,115,3,20,Medium,15
17177,Brooklyn,350,2,34,High,344
17187,Manhattan,160,2,48,Medium,40
17190,Manhattan,125,3,26,Medium,67
17193,Brooklyn,125,1,47,Medium,151
17195,Manhattan,275,3,12,Medium,12
17200,Manhattan,200,5,11,Medium,0
17206,Brooklyn,130,28,20,Medium,80
17215,Manhattan,200,2,25,Medium,0
17216,Manhattan,199,2,106,Medium,250
17218,Manhattan,700,2,18,High,0
17221,Manhattan,135,2,104,Medium,76
17233,Manhattan,349,3,29,High,0
17239,Manhattan,325,2,47,High,0
17242,Manhattan,134,1,24,Medium,0
17243,Manhattan,150,3,13,Medium,207
17245,Brooklyn,200,2,58,Medium,257
17247,Brooklyn,105,5,11,Medium,0
17252,Brooklyn,104,5,115,Medium,182
17253,Manhattan,130,2,15,Medium,0
17262,Brooklyn,109,4,80,Medium,107
17266,Manhattan,150,3,47,Medium,39
17272,Queens,200,2,35,Medium,4
17291,Brooklyn,150,2,68,Medium,100
17297,Manhattan,189,2,72,Medium,27
17306,Manhattan,102,4,15,Medium,0
17318,Manhattan,133,30,11,Medium,126
17320,Brooklyn,110,2,204,Medium,41
17322,Queens,205,3,50,Medium,324
17330,Manhattan,176,4,105,Medium,143
17331,Brooklyn,199,3,23,Medium,0
17346,Manhattan,125,3,27,Medium,308
17347,Manhattan,124,1,168,Medium,147
17348,Brooklyn,120,1,34,Medium,0
17349,Brooklyn,300,3,83,High,218
17380,Manhattan,110,1,23,Medium,146
17401,Manhattan,185,2,147,Medium,114
17402,Brooklyn,115,1,227,Medium,294
17414,Queens,125,5,12,Medium,3
17417,Brooklyn,200,30,47,Medium,298
17418,Manhattan,200,1,17,Medium,0
17420,Manhattan,495,3,52,High,285
17421,Manhattan,125,3,14,Medium,121
17422,Brooklyn,185,3,93,Medium,77
17432,Manhattan,150,3,18,Medium,0
17441,Brooklyn,120,2,48,Medium,53
17442,Manhattan,175,3,119,Medium,238
17443,Staten Island,120,1,82,Medium,310
17448,Brooklyn,199,2,31,Medium,23
17449,Manhattan,350,3,12,High,301
17453,Brooklyn,295,2,16,Medium,0
17457,Brooklyn,118,3,20,Medium,33
17460,Manhattan,200,2,11,Medium,0
17469,Brooklyn,150,1,174,Medium,236
17470,Manhattan,240,4,26,Medium,188
17471,Manhattan,140,30,14,Medium,75
17478,Manhattan,250,5,74,Medium,216
17481,Manhattan,110,4,12,Medium,0
17490,Manhattan,200,1,38,Medium,123
17491,Manhattan,120,2,29,Medium,0
17511,Manhattan,135,3,32,Medium,84
17519,Manhattan,150,4,20,Medium,82
17521,Queens,125,3,12,Medium,274
17537,Manhattan,150,2,11,Medium,212
17546,Manhattan,210,3,14,Medium,327
17562,Brooklyn,129,2,43,Medium,80
17577,Queens,200,2,11,Medium,363
17583,Manhattan,175,2,120,Medium,308
17589,Manhattan,200,5,22,Medium,5
17600,Manhattan,325,3,29,High,349
17604,Manhattan,165,3,34,Medium,0
17606,Manhattan,130,7,25,Medium,0
17607,Manhattan,200,3,48,Medium,53
17609,Brooklyn,105,2,30,Medium,291
17622,Brooklyn,109,2,117,Medium,51
17634,Manhattan,135,5,28,Medium,24
17640,Brooklyn,144,2,14,Medium,0
17644,Manhattan,150,5,20,Medium,178
17648,Brooklyn,250,1,29,Medium,347
17655,Manhattan,105,1,209,Medium,76
17660,Manhattan,110,1,65,Medium,266
17662,Brooklyn,249,3,26,Medium,0
17675,Manhattan,110,3,68,Medium,128
17677,Manhattan,110,3,33,Medium,0
17678,Manhattan,140,30,12,Medium,68
17680,Brooklyn,130,2,20,Medium,89
17691,Manhattan,450,2,110,High,287
17693,Manhattan,113,2,12,Medium,197
17700,Brooklyn,115,1,350,Medium,137
17707,Manhattan,195,1,41,Medium,170
17710,Brooklyn,138,3,95,Medium,71
17712,Brooklyn,120,1,21,Medium,0
17718,Queens,115,2,64,Medium,89
17724,Manhattan,160,30,122,Medium,179
17734,Manhattan,155,2,138,Medium,232
17750,Manhattan,106,30,14,Medium,242
17752,Manhattan,129,1,159,Medium,193
17758,Brooklyn,120,4,53,Medium,15
17765,Manhattan,219,1,56,Medium,217
17776,Manhattan,120,3,68,Medium,0
17781,Manhattan,275,2,125,Medium,146
17782,Brooklyn,325,5,80,High,92
17789,Queens,125,1,11,Medium,0
17790,Manhattan,124,2,28,Medium,336
17808,Manhattan,150,1,119,Medium,316
17834,Brooklyn,150,3,15,Medium,154
17841,Manhattan,155,14,75,Medium,34
17842,Manhattan,109,5,25,Medium,2
17843,Brooklyn,150,1,12,Medium,0
17844,Brooklyn,130,3,103,Medium,101
17862,Brooklyn,185,2,169,Medium,26
17864,Queens,135,2,135,Medium,168
17868,Manhattan,150,3,86,Medium,226
17878,Manhattan,210,1,76,Medium,311
17894,Manhattan,122,1,41,Medium,8
17908,Manhattan,250,3,152,Medium,229
17909,Brooklyn,106,1,30,Medium,0
17911,Brooklyn,175,2,114,Medium,154
17913,Brooklyn,119,1,12,Medium,140
17915,Brooklyn,189,2,88,Medium,255
17936,Brooklyn,199,2,68,Medium,20
17937,Manhattan,235,30,23,Medium,134
17938,Brooklyn,240,2,144,Medium,217
17948,Manhattan,170,5,22,Medium,143
17953,Manhattan,110,3,26,Medium,5
17954,Manhattan,115,5,13,Medium,0
17956,Manhattan,250,91,55,Medium,34
17962,Queens,150,3,64,Medium,264
17963,Manhattan,150,2,69,Medium,39
17968,Manhattan,159,2,12,Medium,0
17969,Brooklyn,280,3,43,Medium,335
17976,Manhattan,178,2,72,Medium,0
17978,Brooklyn,119,3,63,Medium,18
17988,Brooklyn,140,2,137,Medium,234
17989,Manhattan,265,2,19,Medium,5
17994,Queens,105,2,29,Medium,38
18003,Brooklyn,137,2,99,Medium,221
18005,Brooklyn,120,3,92,Medium,130
18007,Manhattan,300,1,158,High,172
18013,Brooklyn,179,2,16,Medium,1
18019,Queens,450,3,15,High,290
18021,Manhattan,250,2,45,Medium,90
18023,Manhattan,249,7,100,Medium,237
18027,Manhattan,179,5,32,Medium,41
18029,Manhattan,155,2,29,Medium,8
18031,Manhattan,499,1,116,High,30
18033,Brooklyn,120,2,12,Medium,27
18056,Manhattan,119,30,12,Medium,339
18058,Manhattan,295,7,12,Medium,128
18071,Manhattan,150,5,47,Medium,0
18072,Manhattan,142,3,15,Medium,118
18074,Brooklyn,249,9,19,Medium,0
18075,Brooklyn,111,2,73,Medium,170
18076,Manhattan,179,4,13,Medium,0
18092,Brooklyn,250,3,80,Medium,98
18097,Brooklyn,160,3,57,Medium,314
18110,Brooklyn,153,3,17,Medium,31
18114,Manhattan,215,1,49,Medium,316
18117,Brooklyn,131,2,27,Medium,96
18118,Queens,120,1,237,Medium,71
18121,Manhattan,120,3,53,Medium,197
18124,Manhattan,115,8,24,Medium,196
18125,Brooklyn,130,1,78,Medium,0
18126,Manhattan,109,1,25,Medium,0
18128,Brooklyn,200,2,13,Medium,0
18130,Brooklyn,180,4,43,Medium,82
18132,Brooklyn,140,5,17,Medium,330
18133,Manhattan,110,1,84,Medium,301
18140,Brooklyn,150,3,18,Medium,0
18143,Manhattan,210,2,11,Medium,242
18144,Manhattan,221,2,78,Medium,270
18145,Brooklyn,150,4,69,Medium,114
18146,Manhattan,350,2,16,High,16
18148,Brooklyn,325,2,87,High,126
18149,Manhattan,407,30,12,High,120
18156,Brooklyn,149,2,102,Medium,256
18158,Manhattan,290,3,59,Medium,256
18170,Manhattan,700,5,23,High,179
18172,Manhattan,150,2,42,Medium,83
18182,Manhattan,150,3,119,Medium,58
18190,Manhattan,199,5,22,Medium,68
18191,Manhattan,195,1,109,Medium,190
18192,Manhattan,349,3,38,High,72
18193,Manhattan,270,2,113,Medium,11
18200,Manhattan,150,3,37,Medium,0
18201,Manhattan,294,5,150,Medium,105
18202,Manhattan,110,4,36,Medium,40
18204,Brooklyn,180,2,115,Medium,82
18209,Brooklyn,130,1,83,Medium,0
18213,Manhattan,316,3,74,High,348
18214,Queens,115,2,32,Medium,265
18216,Brooklyn,160,2,130,Medium,69
18226,Brooklyn,120,4,139,Medium,136
18229,Manhattan,200,3,16,Medium,0
18231,Manhattan,150,2,13,Medium,69
18232,Manhattan,120,2,154,Medium,266
18233,Manhattan,175,2,41,Medium,242
18237,Manhattan,195,2,12,Medium,0
18238,Brooklyn,249,3,99,Medium,239
18240,Manhattan,189,1,22,Medium,0
18242,Queens,135,2,73,Medium,345
18245,Queens,120,2,13,Medium,115
18250,Brooklyn,180,4,94,Medium,326
18251,Manhattan,350,5,24,High,137
18254,Queens,144,2,113,Medium,293
